Year,State_ID,State,Desocupada,Desocupada (hombres),Desocupada (mujeres),Disponible,No disponible,Ocupada,Ocupada (hombres),Ocupada (mujeres),PoblaciÃ³n de 14 y mÃ¡s aÃ±os,PoblaciÃ³n de 14 y mÃ¡s aÃ±os econÃ³micamente activa,PoblaciÃ³n de 14 y mÃ¡s aÃ±os no econÃ³micamente activa
2008,19,Nuevo LeÃ³n,93313.0,50812.0,42501.0,197579.0,1035588.0,1937961.0,1240712.0,697249.0,3264441.0,2031274.0,1233167.0
2008,20,Oaxaca,27149.0,14317.0,12832.0,184752.0,843146.0,1399487.0,843764.0,555723.0,2454534.0,1426636.0,1027898.0
2008,21,Puebla,83248.0,52260.0,30988.0,342700.0,1320907.0,2213351.0,1328713.0,884638.0,3960206.0,2296599.0,1663607.0
2008,22,QuerÃ©taro,28271.0,19228.0,9043.0,113363.0,398803.0,653760.0,401221.0,252539.0,1194197.0,682031.0,512166.0
2008,23,Quintana Roo,21109.0,10579.0,10530.0,44819.0,232090.0,621115.0,380677.0,240438.0,919133.0,642224.0,276909.0
2008,24,San Luis PotosÃ­,25949.0,15462.0,10487.0,117840.0,591893.0,996092.0,631354.0,364738.0,1731774.0,1022041.0,709733.0
2008,25,Sinaloa,33827.0,19567.0,14260.0,167444.0,629566.0,1127326.0,716960.0,410366.0,1958163.0,1161153.0,797010.0
2008,26,Sonora,40808.0,29629.0,11179.0,86295.0,672890.0,1003963.0,612275.0,391688.0,1803956.0,1044771.0,759185.0
2008,27,Tabasco,36009.0,22217.0,13792.0,110340.0,513871.0,795477.0,532638.0,262839.0,1455697.0,831486.0,624211.0
2008,28,Tamaulipas,59444.0,32500.0,26944.0,135628.0,743812.0,1343332.0,837129.0,506203.0,2282216.0,1402776.0,879440.0
2008,29,Tlaxcala,24718.0,13730.0,10988.0,81426.0,252276.0,431936.0,267430.0,164506.0,790356.0,456654.0,333702.0
2008,30,Veracruz de Ignacio de la Llave,89791.0,51982.0,37809.0,365396.0,1997555.0,2867437.0,1855470.0,1011967.0,5320179.0,2957228.0,2362951.0
2008,31,YucatÃ¡n,20567.0,10768.0,9799.0,45024.0,473127.0,837930.0,515162.0,322768.0,1376648.0,858497.0,518151.0
2008,32,Zacatecas,20515.0,13800.0,6715.0,111360.0,347744.0,486636.0,308034.0,178602.0,966255.0,507151.0,459104.0
2009,01,Aguascalientes,33516.0,23323.0,10193.0,61922.0,300607.0,413736.0,257248.0,156488.0,809781.0,447252.0,362529.0
2009,02,Baja California,85332.0,56753.0,28579.0,105550.0,828781.0,1303467.0,800371.0,503096.0,2323130.0,1388799.0,934331.0
2009,03,Baja California Sur,15023.0,9405.0,5618.0,18651.0,125095.0,258189.0,160718.0,97471.0,416958.0,273212.0,143746.0
2009,04,Campeche,7778.0,4771.0,3007.0,26394.0,212477.0,333118.0,218097.0,115021.0,579767.0,340896.0,238871.0
2009,05,Coahuila de Zaragoza,96829.0,61248.0,35581.0,118716.0,658742.0,1033820.0,659800.0,374020.0,1908107.0,1130649.0,777458.0
2009,06,Colima,12735.0,7346.0,5389.0,37172.0,117634.0,280134.0,166466.0,113668.0,447675.0,292869.0,154806.0
2009,07,Chiapas,41451.0,29159.0,12292.0,233712.0,1100500.0,1630361.0,1142751.0,487610.0,3006024.0,1671812.0,1334212.0
2009,08,Chihuahua,118968.0,76908.0,42060.0,177263.0,922242.0,1305031.0,859709.0,445322.0,2523504.0,1423999.0,1099505.0
2009,09,Ciudad de MÃ©xico,232862.0,123204.0,109658.0,435779.0,2431448.0,3907773.0,2222095.0,1685678.0,7007862.0,4140635.0,2867227.0
2009,10,Durango,38906.0,26200.0,12706.0,95564.0,406791.0,559944.0,371908.0,188036.0,1101205.0,598850.0,502355.0
2009,11,Guanajuato,114963.0,73692.0,41271.0,410019.0,1149707.0,1855945.0,1136881.0,719064.0,3530634.0,1970908.0,1559726.0
2009,12,Guerrero,19637.0,14202.0,5435.0,73470.0,881389.0,1178007.0,714681.0,463326.0,2152503.0,1197644.0,954859.0
2009,13,Hidalgo,47625.0,25692.0,21933.0,119613.0,656642.0,921084.0,595581.0,325503.0,1744964.0,968709.0,776255.0
2009,14,Jalisco,168619.0,118844.0,49775.0,303153.0,1645623.0,2930721.0,1786384.0,1144337.0,5048116.0,3099340.0,1948776.0
2009,15,MÃ©xico,400155.0,254540.0,145615.0,605383.0,4114032.0,5761406.0,3676837.0,2084569.0,10880976.0,6161561.0,4719415.0
2009,16,MichoacÃ¡n de Ocampo,51679.0,35955.0,15724.0,293248.0,891512.0,1554720.0,970719.0,584001.0,2791159.0,1606399.0,1184760.0
2009,17,Morelos,25504.0,16938.0,8566.0,105169.0,425877.0,695267.0,409960.0,285307.0,1251817.0,720771.0,531046.0
2009,18,Nayarit,13443.0,8458.0,4985.0,82761.0,190842.0,427020.0,264312.0,162708.0,714066.0,440463.0,273603.0
2009,19,Nuevo LeÃ³n,145881.0,85034.0,60847.0,226632.0,1046946.0,1921594.0,1223945.0,697649.0,3341053.0,2067475.0,1273578.0
2009,20,Oaxaca,35880.0,24892.0,10988.0,190722.0,849872.0,1406367.0,860883.0,545484.0,2482841.0,1442247.0,1040594.0
2009,21,Puebla,107819.0,67218.0,40601.0,452505.0,1236585.0,2198927.0,1369553.0,829374.0,3995836.0,2306746.0,1689090.0
2009,22,QuerÃ©taro,41908.0,27119.0,14789.0,131133.0,394353.0,650623.0,393165.0,257458.0,1218017.0,692531.0,525486.0
2009,23,Quintana Roo,22922.0,14277.0,8645.0,51802.0,278465.0,616261.0,386770.0,229491.0,969450.0,639183.0,330267.0
2009,24,San Luis PotosÃ­,40206.0,26230.0,13976.0,111473.0,652937.0,970908.0,614859.0,356049.0,1775524.0,1011114.0,764410.0
2009,25,Sinaloa,38541.0,24805.0,13736.0,163560.0,649348.0,1140266.0,734315.0,405951.0,1991715.0,1178807.0,812908.0
2009,26,Sonora,57445.0,34475.0,22970.0,108746.0,693952.0,999293.0,627071.0,372222.0,1859436.0,1056738.0,802698.0
2009,27,Tabasco,40073.0,27192.0,12881.0,111772.0,524530.0,777469.0,530429.0,247040.0,1453844.0,817542.0,636302.0
2009,28,Tamaulipas,80044.0,43163.0,36881.0,153325.0,824881.0,1302452.0,813806.0,488646.0,2360702.0,1382496.0,978206.0
2009,29,Tlaxcala,26503.0,15057.0,11446.0,83873.0,278468.0,407811.0,255217.0,152594.0,796655.0,434314.0,362341.0
2009,30,Veracruz de Ignacio de la Llave,78239.0,55689.0,22550.0,409551.0,1964843.0,2835529.0,1871559.0,963970.0,5288162.0,2913768.0,2374394.0
2009,31,YucatÃ¡n,24850.0,16323.0,8527.0,52619.0,488480.0,857005.0,525338.0,331667.0,1422954.0,881855.0,541099.0
2009,32,Zacatecas,23323.0,14546.0,8777.0,105006.0,366943.0,481367.0,317071.0,164296.0,976639.0,504690.0,471949.0
2010,01,Aguascalientes,35914.0,24127.0,11787.0,47912.0,328847.0,448720.0,274907.0,173813.0,861393.0,484634.0,376759.0
2010,02,Baja California,80916.0,51405.0,29511.0,127472.0,869534.0,1316953.0,821549.0,495404.0,2394875.0,1397869.0,997006.0
2010,03,Baja California Sur,18994.0,12352.0,6642.0,23618.0,161326.0,281479.0,176954.0,104525.0,485417.0,300473.0,184944.0
2010,04,Campeche,9600.0,5604.0,3996.0,32777.0,213857.0,357708.0,233395.0,124313.0,613942.0,367308.0,246634.0
2010,05,Coahuila de Zaragoza,93188.0,60222.0,32966.0,151561.0,692785.0,1087039.0,687227.0,399812.0,2024573.0,1180227.0,844346.0
2010,06,Colima,14026.0,8239.0,5787.0,38196.0,140285.0,301466.0,180458.0,121008.0,493973.0,315492.0,178481.0
2010,07,Chiapas,43699.0,26702.0,16997.0,228632.0,1215997.0,1846863.0,1298755.0,548108.0,3335191.0,1890562.0,1444629.0
2010,08,Chihuahua,127206.0,74755.0,52451.0,215291.0,966435.0,1320145.0,877605.0,442540.0,2629077.0,1447351.0,1181726.0
2010,09,Ciudad de MÃ©xico,267111.0,158439.0,108672.0,489538.0,2429960.0,3970672.0,2270305.0,1700367.0,7157281.0,4237783.0,2919498.0
2010,10,Durango,34311.0,23334.0,10977.0,105423.0,426372.0,597711.0,391549.0,206162.0,1163817.0,632022.0,531795.0
2010,11,Guanajuato,122512.0,82305.0,40207.0,490409.0,1249158.0,2101728.0,1271401.0,830327.0,3963807.0,2224240.0,1739567.0
2010,12,Guerrero,31237.0,18803.0,12434.0,79061.0,922710.0,1328158.0,785866.0,542292.0,2361166.0,1359395.0,1001771.0
2010,13,Hidalgo,43330.0,27021.0,16309.0,138433.0,706727.0,1006896.0,648412.0,358484.0,1895386.0,1050226.0,845160.0
2010,14,Jalisco,170970.0,120249.0,50721.0,311057.0,1741885.0,3143064.0,1912867.0,1230197.0,5366976.0,3314034.0,2052942.0
