Year,State_ID,State,Capacidad instalada de las plantas potabilizadoras en operaciÃ³n (litros por segundo) a/,Capacidad total de almacenamiento de las presas (millones de metros cÃºbicos) b/,Capacidad Ãºtil de almacenamiento de las presas (millones de metros cÃºbicos) b/,CrÃ©ditos en programas de vivienda,Fuentes de abastecimiento de agua a/,InversiÃ³n ejercida en programas de vivienda (miles de pesos),Jardines vecinales a/,Localidades con el servicio de drenaje y alcantarillado a/,Localidades con el servicio de energÃ­a elÃ©ctrica a/,Localidades con red de distribuciÃ³n de agua entubada a/,Parques de juegos infantiles a/,Plantas potabilizadoras de agua en operaciÃ³n a/,Sistemas de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Tomas domiciliarias de agua entubada a/,Tomas instaladas de energÃ­a elÃ©ctrica a/,Volumen anual utilizado de agua de las presas (millones de metros cÃºbicos) c/,Volumen suministrado anual de agua potable (millones de metros cÃºbicos) b/
1997,16,MichoacÃ¡n de Ocampo,ND,16055,ND,8926.0,462,494124.0,ND,ND,ND,118,ND,ND,1,ND,15731,892733,ND,ND
1997,17,Morelos,ND,54,47,2635.0,510,215478.0,358,ND,343,ND,131,ND,ND,ND,ND,366185,ND,ND
1997,18,Nayarit,ND,5585,2607,4847.0,669,142605.0,ND,58,569,33,ND,ND,22,58,134079,234157,5984,ND
1997,19,Nuevo LeÃ³n,ND,ND,ND,11820.0,512,1199936.0,ND,ND,923,ND,ND,ND,ND,ND,805005,921213,ND,ND
1997,20,Oaxaca,ND,15011,10978,65199.0,1823,408052.0,ND,ND,4164,1709,ND,ND,1709,196,469702,710542,8032,ND
1997,21,Puebla,ND,667,366,14407.0,2044,404911.0,ND,591,1793,1504,ND,ND,1508,607,692858,816667,1570,ND
1997,22,QuerÃ©taro,ND,261,247,20963.0,275,466719.0,103,178,1428,527,29,ND,235,178,236778,ND,ND,ND
1997,23,Quintana Roo,ND,0,0,15907.0,624,306828.0,176,6,ND,277,82,ND,11,6,137383,ND,0,ND
1997,24,San Luis PotosÃ­,ND,259,187,6115.0,224,553428.0,ND,ND,ND,ND,ND,ND,ND,ND,298591,480258,133,ND
1997,25,Sinaloa,ND,22079,14786,8567.0,1188,788022.0,ND,170,4233,1380,ND,ND,1034,170,525666,576814,9121,ND
1997,26,Sonora,ND,9174,7432,13039.0,907,639480.0,ND,96,5370,697,ND,ND,697,96,483703,506405,9112,ND
1997,27,Tabasco,ND,0,0,3935.0,481,241753.0,98,126,1049,834,50,ND,447,126,269009,363623,0,ND
1997,28,Tamaulipas,ND,7464,7080,12653.0,1283,935582.0,120,56,ND,1258,20,ND,1027,50,619257,684330,ND,ND
1997,29,Tlaxcala,0,78,54,3778.0,420,124298.0,ND,599,378,548,ND,0,314,ND,173955,178317,22,0
1997,30,Veracruz de Ignacio de la Llave,ND,869,560,12844.0,885,587881.0,ND,304,4082,1842,ND,ND,1545,312,854708,1378087,1009,ND
1997,31,YucatÃ¡n,ND,0,0,20182.0,683,338318.0,ND,3,1397,561,ND,ND,561,10,326896,427809,0,ND
