Year,State_ID,State,Presuntos delincuentes registrados en los juzgados de primera instancia en materia penal del fuero comÃºn a/,Presuntos delincuentes registrados en los juzgados de primera instancia en materia penal del fuero federal a/,Sentenciados registrados en los juzgados de primera instancia en materia penal del fuero comÃºn a/,Sentenciados registrados en los juzgados de primera instancia en materia penal del fuero federal a/,Tasa de personas con sentencia condenatoria b/,Tasa de personas con sentencia condenatoria del fuero comÃºn d/,Tasa de personas con sentencia condenatoria del fuero federal c/
1997,99,No especificada,618.0,126.0,575.0,73.0,58.6,56.9,72.6
1998,01,Aguascalientes,1890.0,212.0,1459.0,170.0,88.5,87.8,94.1
1998,02,Baja California,6884.0,2824.0,6328.0,2050.0,91.8,93.0,88.1
1998,03,Baja California Sur,1225.0,302.0,1022.0,215.0,85.9,84.8,90.7
1998,04,Campeche,1352.0,276.0,701.0,255.0,87.8,86.0,92.5
1998,05,Coahuila de Zaragoza,5738.0,689.0,2162.0,683.0,88.6,86.5,95.0
1998,06,Colima,1655.0,323.0,1249.0,283.0,92.0,91.4,95.1
1998,07,Chiapas,4672.0,929.0,4150.0,693.0,84.8,83.5,92.2
1998,08,Chihuahua,6788.0,2229.0,5159.0,1697.0,91.0,90.4,92.8
1998,09,Ciudad de MÃ©xico,16228.0,1745.0,14468.0,1233.0,87.1,86.6,92.9
1998,10,Durango,1641.0,528.0,1280.0,512.0,86.6,82.9,95.7
1998,11,Guanajuato,4594.0,1127.0,4316.0,1144.0,89.7,87.8,96.8
1998,12,Guerrero,3444.0,859.0,1496.0,792.0,76.1,66.2,94.9
1998,13,Hidalgo,1672.0,334.0,1113.0,275.0,83.6,81.2,93.5
1998,14,Jalisco,7157.0,1988.0,4780.0,1825.0,87.0,85.1,91.8
1998,15,MÃ©xico,10603.0,1019.0,7922.0,853.0,72.7,70.8,90.6
1998,16,MichoacÃ¡n de Ocampo,8897.0,1480.0,7456.0,1588.0,85.4,84.4,90.1
1998,17,Morelos,1984.0,564.0,1753.0,579.0,71.8,65.5,90.7
1998,18,Nayarit,2603.0,548.0,2230.0,408.0,92.5,91.7,96.8
1998,19,Nuevo LeÃ³n,5113.0,691.0,3249.0,680.0,84.2,82.6,91.8
1998,20,Oaxaca,4985.0,1137.0,3876.0,789.0,92.3,91.8,94.8
1998,21,Puebla,4800.0,545.0,3872.0,506.0,89.8,89.0,96.2
1998,22,QuerÃ©taro,3619.0,233.0,2221.0,116.0,84.0,83.4,94.0
1998,23,Quintana Roo,1267.0,259.0,646.0,215.0,90.4,89.0,94.4
1998,24,San Luis PotosÃ­,3389.0,731.0,2764.0,655.0,82.5,78.9,97.4
1998,25,Sinaloa,4016.0,2455.0,3557.0,2286.0,86.3,82.3,92.5
1998,26,Sonora,6426.0,2075.0,4813.0,1426.0,90.3,89.5,93.1
1998,27,Tabasco,4303.0,508.0,3193.0,502.0,85.4,85.3,86.5
1998,28,Tamaulipas,7108.0,1810.0,5534.0,1711.0,85.7,83.0,94.4
1998,29,Tlaxcala,1064.0,135.0,618.0,204.0,85.5,87.1,80.9
1998,30,Veracruz de Ignacio de la Llave,11368.0,1060.0,7078.0,792.0,88.3,87.7,93.4
1998,31,YucatÃ¡n,2596.0,204.0,2263.0,160.0,75.7,74.9,86.9
1998,32,Zacatecas,2007.0,335.0,1450.0,256.0,87.7,88.3,84.4
1998,33,Extranjero,3.0,45.0,0.0,30.0,76.7,0.0,76.7
1998,99,No especificada,365.0,43.0,492.0,59.0,49.0,47.0,66.1
1999,01,Aguascalientes,1860.0,250.0,1483.0,182.0,88.1,87.1,96.2
1999,02,Baja California,7373.0,3226.0,7459.0,2048.0,93.5,94.7,89.2
1999,03,Baja California Sur,1266.0,281.0,848.0,273.0,81.8,80.0,87.5
1999,04,Campeche,1171.0,255.0,943.0,211.0,80.2,77.0,94.3
1999,05,Coahuila de Zaragoza,6025.0,697.0,2718.0,597.0,88.6,87.3,94.6
1999,06,Colima,1651.0,358.0,1220.0,292.0,91.3,91.6,90.1
1999,07,Chiapas,5120.0,993.0,3951.0,902.0,86.6,85.2,92.8
1999,08,Chihuahua,6543.0,1965.0,5262.0,1559.0,91.2,90.1,94.7
1999,09,Ciudad de MÃ©xico,18340.0,2246.0,14789.0,1463.0,90.0,90.0,90.5
1999,10,Durango,1870.0,723.0,1327.0,613.0,91.7,89.5,96.4
1999,11,Guanajuato,4591.0,896.0,3935.0,890.0,91.9,91.4,94.0
1999,12,Guerrero,3194.0,731.0,1718.0,714.0,71.9,63.2,92.9
1999,13,Hidalgo,1537.0,308.0,1116.0,262.0,85.1,82.3,96.9
1999,14,Jalisco,7558.0,1641.0,5332.0,1674.0,86.7,85.1,91.7
1999,15,MÃ©xico,11580.0,1310.0,8074.0,1021.0,75.8,73.6,93.6
1999,16,MichoacÃ¡n de Ocampo,8224.0,1342.0,6629.0,1292.0,86.2,85.4,90.6
1999,17,Morelos,1977.0,637.0,1595.0,535.0,69.5,61.1,94.6
1999,18,Nayarit,2347.0,583.0,2142.0,443.0,91.7,91.3,93.9
1999,19,Nuevo LeÃ³n,4558.0,715.0,3057.0,603.0,86.1,84.6,93.7
