Year,State_ID,State,Total
2010,17,Morelos,451.0
2010,19,Nuevo LeÃ³n,4656.0
2010,20,Oaxaca,404.0
2010,21,Puebla,1824.0
2010,22,QuerÃ©taro,815.0
2010,23,Quintana Roo,160.0
2010,24,San Luis PotosÃ­,261.0
2010,25,Sinaloa,124.0
2010,26,Sonora,730.0
2010,27,Tabasco,263.0
2010,28,Tamaulipas,223.0
2010,29,Tlaxcala,205.0
2010,30,Veracruz de Ignacio de la Llave,728.0
2010,31,YucatÃ¡n,44.0
2010,32,Zacatecas,27.0
2011,01,Aguascalientes,34.0
2011,02,Baja California,3272.0
2011,03,Baja California Sur,94.0
2011,04,Campeche,18.0
2011,05,Coahuila de Zaragoza,167.0
2011,06,Colima,121.0
2011,08,Chihuahua,27.0
2011,09,Ciudad de MÃ©xico,1188.0
2011,10,Durango,373.0
2011,11,Guanajuato,135.0
2011,12,Guerrero,391.0
2011,13,Hidalgo,357.0
2011,14,Jalisco,3394.0
2011,15,MÃ©xico,3611.0
2011,16,MichoacÃ¡n de Ocampo,187.0
2011,17,Morelos,803.0
2011,18,Nayarit,298.0
2011,19,Nuevo LeÃ³n,5807.0
2011,20,Oaxaca,505.0
2011,21,Puebla,2205.0
2011,22,QuerÃ©taro,847.0
2011,23,Quintana Roo,211.0
2011,24,San Luis PotosÃ­,239.0
2011,25,Sinaloa,141.0
2011,26,Sonora,401.0
2011,27,Tabasco,120.0
2011,28,Tamaulipas,269.0
2011,29,Tlaxcala,148.0
2011,30,Veracruz de Ignacio de la Llave,649.0
2011,31,YucatÃ¡n,71.0
2011,32,Zacatecas,13.0
2012,01,Aguascalientes,34.0
2012,02,Baja California,3848.0
2012,03,Baja California Sur,100.0
2012,04,Campeche,23.0
2012,05,Coahuila de Zaragoza,206.0
2012,06,Colima,95.0
2012,07,Chiapas,101.0
2012,08,Chihuahua,41.0
2012,09,Ciudad de MÃ©xico,1153.0
2012,10,Durango,256.0
2012,11,Guanajuato,128.0
2012,12,Guerrero,281.0
2012,13,Hidalgo,348.0
2012,14,Jalisco,2939.0
2012,15,MÃ©xico,3945.0
2012,16,MichoacÃ¡n de Ocampo,199.0
2012,17,Morelos,1001.0
2012,18,Nayarit,300.0
2012,19,Nuevo LeÃ³n,6271.0
2012,20,Oaxaca,1047.0
2012,21,Puebla,2187.0
