Year,State,State_ID,Crime_type,Total
1998,BAJA CALIFORNIA,2,Homicides,578
1998,BAJA CALIFORNIA,2,Injuries,15616
1998,BAJA CALIFORNIA,2,Other Crimes,29164
1998,BAJA CALIFORNIA,2,Kidnap,72
1998,BAJA CALIFORNIA,2,Common Thief,68553
1998,BAJA CALIFORNIA,2,Cattle Thief,0
1998,BAJA CALIFORNIA,2,Highway Thief,0
1998,BAJA CALIFORNIA,2,Banking Thief,50
1998,BAJA CALIFORNIA SUR,3,Household Crimes,2750
1998,BAJA CALIFORNIA SUR,3,Rape,52
1998,BAJA CALIFORNIA SUR,3,Homicides,85
1998,BAJA CALIFORNIA SUR,3,Injuries,1383
1998,BAJA CALIFORNIA SUR,3,Other Crimes,2984
1998,BAJA CALIFORNIA SUR,3,Kidnap,5
1998,BAJA CALIFORNIA SUR,3,Common Thief,4894
1998,BAJA CALIFORNIA SUR,3,Cattle Thief,0
1998,BAJA CALIFORNIA SUR,3,Highway Thief,0
1998,BAJA CALIFORNIA SUR,3,Banking Thief,0
1998,CAMPECHE,4,Household Crimes,1754
1998,CAMPECHE,4,Rape,155
1998,CAMPECHE,4,Homicides,252
1998,CAMPECHE,4,Injuries,2361
1998,CAMPECHE,4,Other Crimes,3655
1998,CAMPECHE,4,Kidnap,6
1998,CAMPECHE,4,Common Thief,2739
1998,CAMPECHE,4,Cattle Thief,0
1998,CAMPECHE,4,Highway Thief,0
1998,CAMPECHE,4,Banking Thief,2
1998,CHIAPAS,7,Household Crimes,5659
1998,CHIAPAS,7,Rape,171
1998,CHIAPAS,7,Homicides,1715
1998,CHIAPAS,7,Injuries,4811
1998,CHIAPAS,7,Other Crimes,10682
1998,CHIAPAS,7,Kidnap,12
1998,CHIAPAS,7,Common Thief,7470
1998,CHIAPAS,7,Cattle Thief,0
1998,CHIAPAS,7,Highway Thief,0
1998,CHIAPAS,7,Banking Thief,0
1998,CHIHUAHUA,8,Household Crimes,13882
1998,CHIHUAHUA,8,Rape,489
1998,CHIHUAHUA,8,Homicides,1198
1998,CHIHUAHUA,8,Injuries,13738
1998,CHIHUAHUA,8,Other Crimes,14179
1998,CHIHUAHUA,8,Kidnap,18
1998,CHIHUAHUA,8,Common Thief,29665
1998,CHIHUAHUA,8,Cattle Thief,0
1998,CHIHUAHUA,8,Highway Thief,0
1998,CHIHUAHUA,8,Banking Thief,33
1998,CIUDAD DE MEXICO,9,Household Crimes,31884
1998,CIUDAD DE MEXICO,9,Rape,1226
1998,CIUDAD DE MEXICO,9,Homicides,1864
1998,CIUDAD DE MEXICO,9,Injuries,33759
1998,CIUDAD DE MEXICO,9,Other Crimes,19072
1998,CIUDAD DE MEXICO,9,Kidnap,66
1998,CIUDAD DE MEXICO,9,Common Thief,149787
1998,CIUDAD DE MEXICO,9,Cattle Thief,0
1998,CIUDAD DE MEXICO,9,Highway Thief,0
1998,CIUDAD DE MEXICO,9,Banking Thief,143
1998,COAHUILA,5,Household Crimes,2513
1998,COAHUILA,5,Rape,145
1998,COAHUILA,5,Homicides,420
1998,COAHUILA,5,Injuries,3779
1998,COAHUILA,5,Other Crimes,4917
1998,COAHUILA,5,Kidnap,3
1998,COAHUILA,5,Common Thief,7044
1998,COAHUILA,5,Cattle Thief,0
1998,COAHUILA,5,Highway Thief,0
1998,COAHUILA,5,Banking Thief,8
1998,COLIMA,6,Household Crimes,2218
1998,COLIMA,6,Rape,85
1998,COLIMA,6,Homicides,176
1998,COLIMA,6,Injuries,1834
1998,COLIMA,6,Other Crimes,5353
1998,COLIMA,6,Kidnap,4
1998,COLIMA,6,Common Thief,4108
1998,COLIMA,6,Cattle Thief,0
